datetime,cpu,mem,,avg
Mon Oct 16 13:33:25 GMT 2023,50,155782,,
Mon Oct 16 13:33:25 GMT 2023,50,155834,,
Mon Oct 16 13:33:26 GMT 2023,50,155885,,
Mon Oct 16 13:33:27 GMT 2023,50,155922,,
Mon Oct 16 13:33:27 GMT 2023,50,155965,,
Mon Oct 16 13:33:28 GMT 2023,50,156196,,
Mon Oct 16 13:33:29 GMT 2023,50,156105,,
Mon Oct 16 13:33:29 GMT 2023,50,156134,,
Mon Oct 16 13:33:30 GMT 2023,50,156186,,
Mon Oct 16 13:33:31 GMT 2023,50,156225,,
Mon Oct 16 13:33:31 GMT 2023,50,156264,,
Mon Oct 16 13:33:32 GMT 2023,50,156314,,
Mon Oct 16 13:33:33 GMT 2023,50,156367,,
Mon Oct 16 13:33:33 GMT 2023,50,156420,,
Mon Oct 16 13:33:34 GMT 2023,50,156633,,
Mon Oct 16 13:33:35 GMT 2023,50,156499,,
Mon Oct 16 13:33:35 GMT 2023,50,156539,,
Mon Oct 16 13:33:36 GMT 2023,50,156592,,
Mon Oct 16 13:33:37 GMT 2023,50,156645,,
Mon Oct 16 13:33:37 GMT 2023,50,156689,,
Mon Oct 16 13:33:38 GMT 2023,50,156747,,
Mon Oct 16 13:33:39 GMT 2023,50,156792,,
Mon Oct 16 13:33:39 GMT 2023,50,156845,,
Mon Oct 16 13:33:40 GMT 2023,50,157082,,
Mon Oct 16 13:33:41 GMT 2023,50,156994,,
Mon Oct 16 13:33:41 GMT 2023,50,157010,,
Mon Oct 16 13:33:42 GMT 2023,50,157052,,
Mon Oct 16 13:33:43 GMT 2023,50,157098,,
Mon Oct 16 13:33:43 GMT 2023,50,157144,,
Mon Oct 16 13:33:44 GMT 2023,50,157180,,
Mon Oct 16 13:33:45 GMT 2023,50,157243,,
Mon Oct 16 13:33:45 GMT 2023,50,157293,,
Mon Oct 16 13:33:46 GMT 2023,50,157506,,
Mon Oct 16 13:33:47 GMT 2023,50,157410,,
Mon Oct 16 13:33:47 GMT 2023,50,157450,,
Mon Oct 16 13:33:48 GMT 2023,50,157496,,
Mon Oct 16 13:33:49 GMT 2023,50,157548,,
Mon Oct 16 13:33:49 GMT 2023,50,157610,,
Mon Oct 16 13:33:50 GMT 2023,50,157642,,
Mon Oct 16 13:33:51 GMT 2023,50,157699,,
Mon Oct 16 13:33:51 GMT 2023,50,157750,,
